"Line","Strain","Generations","LR_sample","SR_callable_3x","SR_callable_10x","LR_callable_3x","LR_callable_10x","SR_SNP_rate_3x","SR_Indel_rate_3x","SR_Total_rate_3x","SR_SNP_rate_10x","SR_Indel_rate_10x","SR_Total_rate_10x","SR_matched_SNP_rate_3x","SR_matched_Indel_rate_3x","SR_matched_SNP_rate_10x","SR_matched_Indel_rate_10x","LR_SNP_rate_3x","LR_Indel_rate_3x","LR_Total_rate_3x","LR_SNP_rate_10x","LR_Indel_rate_10x","LR_Total_rate_10x","SR_TsTv_3x","SR_TsTv_10x","LR_TsTv_3x","LR_TsTv_10x","SR_InsDel_3x","SR_InsDel_10x","LR_InsDel_3x","LR_InsDel_10x","SR_3x_n_snp","SR_3x_n_indel","SR_3x_n_total","SR_10x_n_snp","SR_10x_n_indel","SR_10x_n_total","SR_matched_3x_n_snp","SR_matched_3x_n_indel","SR_matched_10x_n_snp","SR_matched_10x_n_indel","LR_3x_n_snp","LR_3x_n_indel","LR_3x_n_total","LR_10x_n_snp","LR_10x_n_indel","LR_10x_n_total","SR_3x_GC_to_AT","SR_3x_GC_to_CG","SR_3x_GC_to_TA","SR_3x_AT_to_GC","SR_3x_AT_to_CG","SR_3x_AT_to_TA","SR_3x_del_1","SR_3x_del_2","SR_3x_del_3_5","SR_3x_del_6_10","SR_3x_del_10plus","SR_3x_ins_1","SR_3x_ins_2","SR_3x_ins_3_5","SR_3x_ins_6_10","SR_3x_ins_10plus","SR_10x_GC_to_AT","SR_10x_GC_to_CG","SR_10x_GC_to_TA","SR_10x_AT_to_GC","SR_10x_AT_to_CG","SR_10x_AT_to_TA","SR_10x_del_1","SR_10x_del_2","SR_10x_del_3_5","SR_10x_del_6_10","SR_10x_del_10plus","SR_10x_ins_1","SR_10x_ins_2","SR_10x_ins_3_5","SR_10x_ins_6_10","SR_10x_ins_10plus","SR_matched_3x_GC_to_AT","SR_matched_3x_GC_to_CG","SR_matched_3x_GC_to_TA","SR_matched_3x_AT_to_GC","SR_matched_3x_AT_to_CG","SR_matched_3x_AT_to_TA","SR_matched_3x_del_1","SR_matched_3x_del_2","SR_matched_3x_del_3_5","SR_matched_3x_del_6_10","SR_matched_3x_del_10plus","SR_matched_3x_ins_1","SR_matched_3x_ins_2","SR_matched_3x_ins_3_5","SR_matched_3x_ins_6_10","SR_matched_3x_ins_10plus","SR_matched_10x_GC_to_AT","SR_matched_10x_GC_to_CG","SR_matched_10x_GC_to_TA","SR_matched_10x_AT_to_GC","SR_matched_10x_AT_to_CG","SR_matched_10x_AT_to_TA","SR_matched_10x_del_1","SR_matched_10x_del_2","SR_matched_10x_del_3_5","SR_matched_10x_del_6_10","SR_matched_10x_del_10plus","SR_matched_10x_ins_1","SR_matched_10x_ins_2","SR_matched_10x_ins_3_5","SR_matched_10x_ins_6_10","SR_matched_10x_ins_10plus","LR_3x_GC_to_AT","LR_3x_GC_to_CG","LR_3x_GC_to_TA","LR_3x_AT_to_GC","LR_3x_AT_to_CG","LR_3x_AT_to_TA","LR_3x_del_1","LR_3x_del_2","LR_3x_del_3_5","LR_3x_del_6_10","LR_3x_del_10plus","LR_3x_ins_1","LR_3x_ins_2","LR_3x_ins_3_5","LR_3x_ins_6_10","LR_3x_ins_10plus","LR_10x_GC_to_AT","LR_10x_GC_to_CG","LR_10x_GC_to_TA","LR_10x_AT_to_GC","LR_10x_AT_to_CG","LR_10x_AT_to_TA","LR_10x_del_1","LR_10x_del_2","LR_10x_del_3_5","LR_10x_del_6_10","LR_10x_del_10plus","LR_10x_ins_1","LR_10x_ins_2","LR_10x_ins_3_5","LR_10x_ins_6_10","LR_10x_ins_10plus"
"202","HK104",238,NA,97934846,95896033,NA,NA,1.67320982174708e-09,7.29347871017956e-10,2.40255769276503e-09,1.40207866067416e-09,4.81964539606742e-10,1.8840432002809e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,1,NA,NA,1.125,1.2,NA,NA,39,17,56,32,11,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,8,4,5,6,4,1,0,0,3,1,1,6,0,1,13,2,7,3,3,4,3,0,0,0,2,1,0,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","HK104",238,NA,96488758,81297376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","HK104",238,"HK_205",96167698,77890144,100122367,98979156,1.17966199161033e-09,8.30132512614675e-10,2.009794504225e-09,1.07887351505446e-09,4.85493081774508e-10,1.56436659682897e-09,1.22335317648478e-09,8.73823697489131e-10,1.29464821806535e-09,8.09155136290846e-10,2.60185820098193e-09,9.65205461654586e-10,3.56706366263651e-09,1.52820563757566e-09,7.21652662188506e-10,2.24985829976417e-09,0.8,0.538461538461538,0.675675675675676,0.5,1.375,0.8,1.09090909090909,0.888888888888889,27,19,46,20,9,29,28,20,24,15,62,23,85,36,17,53,10,1,7,2,4,3,6,0,0,1,1,2,1,2,3,3,5,1,7,2,2,3,4,0,0,1,0,0,1,1,2,0,9,1,8,0,4,6,5,1,1,2,0,2,1,1,2,5,8,1,7,2,2,4,6,0,1,1,0,2,1,1,3,0,20,3,14,5,6,14,7,1,1,2,0,3,1,2,3,3,10,2,10,2,4,8,7,0,1,1,0,2,1,1,3,1
"206","HK104",238,NA,96909307,90170350,NA,NA,1.34406183340405e-09,8.23779833376677e-10,2.16784166678073e-09,1.11833142639963e-09,4.19374284899861e-10,1.53770571129949e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06666666666667,1,NA,NA,0.9,0.5,NA,NA,31,19,50,24,9,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,5,4,2,6,5,1,1,1,2,3,2,4,0,0,9,1,5,3,1,5,3,1,0,1,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","HK104",238,NA,95706328,81397632,NA,NA,1.44875960746163e-09,1.58046502632178e-09,3.02922463378341e-09,1.29048000814966e-09,8.77526405541766e-10,2.16800641369142e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941176470588235,1.5,NA,NA,2.6,1.125,NA,NA,33,36,69,25,17,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,4,5,0,6,4,3,1,1,1,4,1,16,2,3,10,6,2,5,0,2,3,2,1,1,1,2,1,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","HK104",238,"HK_209",96544475,82742259,100366703,99308833,1.61026495689111e-09,5.22248094126846e-10,2.13251305101795e-09,1.06638729935627e-09,2.53901737941969e-10,1.32028903729824e-09,1.65378563140168e-09,5.65768768637416e-10,1.52341042765181e-09,2.53901737941969e-10,2.84670390850924e-09,6.2794939158292e-10,3.47465330009216e-09,1.43851396236972e-09,2.96164639311413e-10,1.73467860168113e-09,0.947368421052632,0.909090909090909,1.3448275862069,0.888888888888889,3,0.666666666666667,4,1.33333333333333,37,12,49,21,5,26,38,13,30,5,68,15,83,34,7,41,11,3,8,7,4,4,1,0,0,1,1,4,2,0,0,3,7,1,4,3,3,3,1,0,0,1,1,1,1,0,0,0,12,3,8,6,4,5,1,0,0,1,0,5,2,1,0,3,9,3,7,5,3,3,1,0,0,1,0,1,1,1,0,0,16,3,11,23,8,7,1,0,0,2,0,5,2,1,0,4,10,3,9,6,3,3,1,0,0,2,0,1,1,1,0,1
"212","HK104",238,NA,96561903,83492470,NA,NA,1.65348714747491e-09,5.65666655715099e-10,2.21915380319e-09,1.25810168038774e-09,2.01296268862038e-10,1.45939794924977e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.666666666666667,NA,NA,1.16666666666667,1,NA,NA,38,13,51,25,4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,5,5,4,8,2,1,0,0,3,2,1,2,0,2,8,3,3,2,3,6,0,1,0,0,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","HK104",238,NA,96399502,81502396,NA,NA,1.65627272168085e-09,1.08965310636898e-09,2.74592582804983e-09,1.34037406064714e-09,5.15528484864286e-10,1.85590254551143e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80952380952381,1.16666666666667,NA,NA,2.125,1.5,NA,NA,38,25,63,26,10,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,11,6,2,6,2,1,2,2,1,5,2,6,0,4,9,2,6,5,2,2,1,1,1,0,1,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","HK104",238,NA,96324713,78531459,NA,NA,1.74479862598455e-09,6.10679519094593e-10,2.35547814507915e-09,1.39108198001251e-09,3.74522071541831e-10,1.76560405155435e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.733333333333333,NA,NA,1.33333333333333,0.75,NA,NA,40,14,54,26,7,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,5,10,3,1,8,2,1,1,1,1,2,1,4,1,0,10,4,4,1,0,7,1,1,1,1,0,0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","HK104",238,NA,93034175,41183804,NA,NA,1.58069680877389e-09,1.40004574491402e-09,2.98074255368791e-09,1.42831704938584e-09,4.08090585538811e-10,1.83640763492465e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05882352941176,0.75,NA,NA,1.81818181818182,0.333333333333333,NA,NA,35,31,66,14,4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,3,7,6,6,1,4,3,1,2,8,2,6,2,2,3,1,2,3,3,2,0,2,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","HK104",238,NA,96202192,73482785,NA,NA,1.61599420597349e-09,4.80430709884012e-10,2.09642491585751e-09,1.429477894812e-09,1.7153734737744e-10,1.60101524218944e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05555555555556,1.08333333333333,NA,NA,1.75,0,NA,NA,37,11,48,25,3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,11,5,2,1,1,2,0,0,1,3,1,0,1,2,10,2,8,3,1,1,1,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","HK104",238,NA,96939874,90100141,NA,NA,1.5603538354267e-09,5.63461107237418e-10,2.12381494266411e-09,1.11920286711265e-09,3.26434169574522e-10,1.44563703668717e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11764705882353,1.66666666666667,NA,NA,1.6,1.33333333333333,NA,NA,36,13,49,24,7,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,8,7,2,4,1,1,2,0,1,2,3,0,3,0,10,2,3,5,0,4,1,1,1,0,0,2,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","HK104",238,NA,96532981,88798454,NA,NA,2.13276696532532e-09,9.14042985139422e-10,3.04680995046474e-09,1.84536485532155e-09,7.09755713585212e-10,2.55512056890676e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57894736842105,1.78571428571429,NA,NA,1.625,2,NA,NA,49,21,70,39,15,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,8,15,2,5,3,1,3,1,0,7,0,4,0,2,12,3,6,13,2,3,3,0,1,1,0,6,0,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","HK104",238,NA,96386415,81134699,NA,NA,2.00523394219372e-09,6.10288591102436e-10,2.61552253329615e-09,1.45002151081536e-09,3.1071889517472e-10,1.76074040599008e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769230769,1,NA,NA,0.4,0.5,NA,NA,46,14,60,28,6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,12,9,4,7,2,0,3,4,1,0,1,1,0,2,9,3,5,5,3,3,1,0,2,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","HK104",238,"HK_244",96679616,85166028,100418712,99363701,1.56455425103965e-09,7.38817285213167e-10,2.30337153625281e-09,1.28271448187054e-09,3.45346206657452e-10,1.62806068852799e-09,1.65147393165296e-09,7.38817285213167e-10,1.67739586090762e-09,3.94681379037088e-10,2.38497181998638e-09,6.69465774031263e-10,3.05443759401764e-09,1.81829246585293e-09,3.38286970391242e-10,2.15657943624417e-09,0.636363636363636,0.733333333333333,0.676470588235294,0.653846153846154,2.4,2.5,3,1.66666666666667,36,17,53,26,7,33,38,17,34,8,57,16,73,43,8,51,11,4,10,3,5,3,3,1,1,0,0,2,1,5,2,2,9,2,8,2,5,0,1,1,0,0,0,2,1,2,0,0,12,4,10,4,5,3,2,1,1,0,0,2,1,7,1,2,11,4,9,3,5,2,1,1,1,0,0,2,1,2,0,0,15,7,14,8,8,5,2,1,1,0,0,2,1,7,1,1,13,5,11,4,7,3,1,1,1,0,0,2,1,2,0,0
"250","HK104",238,NA,97229893,93309245,NA,NA,2.76568815133027e-09,1.38284407566514e-09,4.14853222699541e-09,2.29651107224921e-09,8.10533319617368e-10,3.10704439186658e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684210526315789,0.645161290322581,NA,NA,1.90909090909091,1,NA,NA,64,32,96,51,18,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,15,8,4,15,6,1,2,1,1,6,0,11,1,3,15,4,12,5,4,11,6,0,1,1,1,5,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","HK104",238,NA,97140380,92287962,NA,NA,1.8599090193755e-09,1.03808875500028e-09,2.89799777437577e-09,1.54794991417345e-09,5.00807325173764e-10,2.04875723934722e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653846153846154,0.7,NA,NA,1,1.75,NA,NA,43,24,67,34,11,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,11,7,7,3,1,1,4,0,6,4,1,3,1,3,8,4,7,6,6,3,0,1,2,0,1,3,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","HK104",238,NA,96994029,89284179,NA,NA,1.86271537300057e-09,7.79741318930471e-10,2.64245669193104e-09,1.60002751279309e-09,1.88238530916834e-10,1.78826604370992e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954545454545455,1.125,NA,NA,1,0.333333333333333,NA,NA,43,18,61,34,4,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,9,5,7,3,5,2,0,0,2,5,1,1,4,2,1,12,7,4,6,3,2,2,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
